ds,yhat,yhat_lower,yhat_upper
2026-02-19,131685.38803495624,123106.0255402156,140834.2599313929
2026-02-20,131747.02228666336,123108.24555064639,140613.81963071556
2026-02-21,131790.76735947057,123057.9018936364,141467.60547806608
2026-02-22,131993.49988731905,123575.94210111548,140777.86673886367
2026-02-23,132414.30893761158,123326.36224978683,141876.10996245188
2026-02-24,132325.92809996297,123122.96923740873,141607.09642303397
2026-02-25,132709.07346057807,124513.30720095884,141797.45294522957
2026-02-26,132602.13990035298,123758.05471848957,141704.67465468895
2026-02-27,132595.18695641425,123428.72556545785,141624.66380829533
2026-02-28,132563.87191858565,123587.01992814464,141167.8448869806
